1  Abigail     Kessel     M single   9876123412348710 Kessel@company.com
2  Anne        Koch       F single   9876123412348810 Koch@company.com
3  Buick       Emmerson   M single   9876123412348910 Emmerson@company.com
4  Frank       Hardy      M single   9876123412349010 Hardy@company.com
5  Macklin     Gowen      M single   9876123412349110 Gowen@company.com
6  Harriett    Charles    F single   9876123412349210 harriett.charles@company2.com
7  Linette     Ingram     F single   9876123412349310 linette.ingram@company2.com
8  Vida        Puleo      F married  9876123412349410 vida.puleo@company2.com
9  Rosamond    Krider     F divorced 9876123412349510 rosamond.krider@company2.com
10 Gertrude    Atkins     F widow    9876123412349610 gertrude.atkins@company2.com
11 Raina       Silverberg F single   9876123412349710 raina.silverberg@company2.com
12 Fredericka  Umstatt    F single   9876123412349810 f.umstatt@company2.com
13 Sibil       Haul       F married  9876123412349910 sibil.haul@company2.com
14 Gloria      Saintclair F single   9876123412350010 gloria.saintclair@company2.com
